GTO,COVID-19,,,,,
No.,Fecha,No USAR,Positivos,Muertos,Recuperados,Vacunados
697,3/02/2022,0,,,,
696,3/01/2022,0,,,,
695,02/28/22,0,,,,
694,02/27/22,0,,,,
693,02/26/22,0,,,,
692,02/25/22,0,,,,
691,02/24/22,0,,,,
690,02/23/22,0,,,,
689,02/22/22,0,,,,
688,02/21/22,0,,,,
687,02/20/22,0,,,,
686,02/19/22,0,,,,
685,02/18/22,0,,,,
684,02/17/22,0,,,,
683,02/16/22,0,,,,
682,02/15/22,0,265769,14759,246962,8310990
681,02/14/22,0,264610,14748,245662,8310990
680,02/13/22,0,264370,14740,244476,8221130
679,2/12/2022,0,264220,14724,243447,8221130
678,2/11/2022,0,262877,14709,241906,8221130
677,2/10/2022,0,261188,14636,240282,8221130
676,2/09/2022,0,259332,14610,236438,8221130
675,2/08/2022,0,257767,14578,236438,8221130
674,2/07/2022,0,257503,14566,235100,8213726
673,2/06/2022,0,257145,14553,233902,8213726
672,2/05/2022,0,256568,14541,232423,8213726
671,2/04/2022,0,255139,14517,230476,8162888
670,2/03/2022,0,253493,14427,228446,8064812
669,2/02/2022,0,251582,14367,226323,8012642
668,2/01/2022,0,249764,14327,223940,8012642
667,01/31/22,0,247637,14290,221858,8012642
666,01/30/22,0,247273,14273,220043,8009392
665,01/29/22,0,246273,14260,218053,7997498
664,01/28/22,0,244485,14242,216188,7949979
663,01/27/22,0,242329,14223,214158,7531669
662,01/26/22,0,240262,14204,211726,7531669
661,01/25/22,0,237977,14174,208855,7531669
660,01/24/22,0,236023,14155,205905,7531669
659,01/23/22,0,234356,14147,203637,7531669
658,01/22/22,0,232614,14132,201485,7531669
657,01/21/22,0,230443,14083,199574,7531669
656,01/20/22,0,228224,14067,197819,7531669
655,01/19/22,0,226114,14050,196469,7493994
654,01/18/22,0,224043,14028,195566,7493994
653,01/17/22,0,222017,14005,194576,7493994
652,01/16/22,0,220196,13992,193815,7137576
651,01/15/22,0,218505,13985,193038,7137576
650,01/14/22,0,216763,13935,192312,7137576
649,01/13/22,0,215148,13919,191724,7137576
648,1/12/2022,0,213559,13908,191203,7137576
647,1/11/2022,0,212086,13886,190811,7014572
646,1/10/2022,0,210759,13876,190462,7014572
645,1/09/2022,0,209547,13873,190451,7014572
644,1/08/2022,0,208733,13866,190421,7014572
643,1/07/2022,0,208016,13856,190375,7014572
642,1/06/2022,0,207295,13842,190079,7014572
641,1/05/2022,0,206683,13804,189800,6950267
640,1/04/2022,0,206086,13798,189551,6950267
639,1/03/2022,0,205614,13796,189425,6917900
638,1/02/2022,0,205479,13793,189194,6917900
637,1/01/2022,0,205008,13785,189082,6917900
636,12/31/21,0,204552,13782,188804,6917900
635,12/30/21,0,204128,13778,188734,6917900
634,12/29/21,0,203776,13771,188487,6907505
633,12/28/21,0,203457,13763,188210,6820879
632,12/27/21,0,203155,13755,187937,6820879
631,12/26/21,0,203125,13750,187759,6820879
630,12/25/21,0,202949,13745,187545,6820879
629,12/24/21,0,202717,13739,187292,6820879
628,12/23/21,0,202421,13710,186985,6820879
627,12/22/21,0,202166,13692,186793,6619684
626,12/21/21,0,201923,13686,186567,6619684
625,12/20/21,0,201651,13677,186230,6591704
624,12/19/21,0,201598,13666,186157,6591704
623,12/18/21,0,201555,13664,186060,6576984
622,12/17/21,0,201290,13653,185857,6576984
621,12/16/21,0,200775,13646,185677,6541827
620,12/15/21,0,200775,13620,185452,6519120
619,12/14/21,0,200468,13610,185223,6360516
618,12/13/21,0,200212,13596,184995,6360516
617,12/12/2021,0,200153,13592,184865,6313810
616,12/11/2021,0,200092,13585,184652,6133450
615,12/10/2021,0,199866,13572,184423,6133450
614,12/09/2021,0,199284,13565,184219,5984458
613,12/08/2021,0,199284,13531,183976,5984458
612,12/07/2021,0,198944,13525,183783,5984458
611,12/06/2021,0,198597,13515,183549,5984458
610,12/05/2021,0,198512,13511,183359,5748484
609,12/04/2021,0,198412,13508,183166,5748484
608,12/03/2021,0,198198,13503,182896,5748484
607,12/02/2021,0,197919,13497,182613,5748484
606,12/01/2021,0,197605,13470,182388,5748484
