Fecha,Positivos,Muertos,Recuperados
19/02/2020,1,0,0
20/02/2020,1,0,0
21/02/2020,1,0,0
22/02/2020,3,0,0
23/02/2020,4,0,0
24/02/2020,4,0,0
25/02/2020,5,0,0
26/02/2020,6,0,0
27/02/2020,8,0,0
28/02/2020,11,0,0
29/02/2020,16,0,0
01/03/2020,27,0,0
02/03/2020,46,0,0
03/03/2020,65,0,0
04/03/2020,80,0,0
05/03/2020,92,0,1
06/03/2020,108,0,1
07/03/2020,129,0,1
08/03/2020,158,0,2
09/03/2020,227,0,3
10/03/2020,287,0,3
11/03/2020,351,0,4
12/03/2020,445,0,4
13/03/2020,557,0,6
14/03/2020,663,0,8
15/03/2020,782,0,12
16/03/2020,929,0,20
17/03/2020,1077,0,37
18/03/2020,1231,3,51
19/03/2020,1369,3,62
20/03/2020,1596,4,74
21/03/2020,1754,4,86
22/03/2020,1934,6,104
23/03/2020,2197,7,131
24/03/2020,2406,10,188
25/03/2020,2657,12,243
26/03/2020,2955,20,299
27/03/2020,3276,28,358
28/03/2020,3587,43,444
29/03/2020,3890,52,521
30/03/2020,4317,66,610
31/03/2020,4655,92,721
01/04/2020,5198,114,812
02/04/2020,5682,140,913
03/04/2020,6181,174,987
04/04/2020,6674,214,1117
05/04/2020,7163,247,1202
06/04/2020,7820,305,1306
07/04/2020,8387,367,1448
08/04/2020,9097,416,1576
09/04/2020,9802,478,1719
10/04/2020,10879,556,1869
11/04/2020,11687,637,2061
12/04/2020,12559,725,2245
13/04/2020,13631,827,2410
14/04/2020,14651,941,2640
15/04/2020,15842,1056,2822
16/04/2020,17007,1163,3096
17/04/2020,18349,1305,3332
18/04/2020,19759,1442,3588
19/04/2020,21018,1623,3860
20/04/2020,23097,1834,4128
21/04/2020,24469,2049,4475
22/04/2020,25905,2265,4762
23/04/2020,27378,2495,5097
24/04/2020,29129,2758,5493
25/04/2020,30946,3048,6027
26/04/2020,32570,3358,6472
27/04/2020,34555,3643,6905
28/04/2020,36297,3969,7478
29/04/2020,37867,4355,8020
30/04/2020,40012,4709,8608
01/05/2020,43009,5119,9188
02/05/2020,45111,5477,9894
03/05/2020,47103,5846,10592
04/05/2020,49620,6307,11223
05/05/2020,52178,6756,12322
06/05/2020,54463,7170,13028
07/05/2020,56970,7573,13769
08/05/2020,59885,8012,14512
09/05/2020,62483,8430,15445
10/05/2020,65993,8887,16378
11/05/2020,69211,9347,17240
12/05/2020,72133,9834,18317
13/05/2020,74973,10324,19252
14/05/2020,77852,10870,20114
15/05/2020,82082,11426,21307
16/05/2020,85224,11960,22985
17/05/2020,88284,12547,24242
18/05/2020,92696,13138,25405
19/05/2020,96114,13717,26923
20/05/2020,100812,14288,28383
21/05/2020,104028,14860,29696
22/05/2020,108055,15420,31218
23/05/2020,111763,15959,32933
